Ref,Val,Package,PosX,PosY,Rot,Side
"D8","~","LED_D3.0mm",-96.261000,-83.312000,0.000000,bottom
"D9","~","LED_D3.0mm",-96.261000,-100.330000,0.000000,bottom
"D10","~","LED_D3.0mm",-96.261000,-117.475000,0.000000,bottom
"D11","~","LED_D3.0mm",-96.266000,-134.620000,0.000000,bottom
"D12","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",-95.885000,-65.405000,0.000000,bottom
"J3","~","PJ301M-12",-111.760000,-85.725000,0.000000,bottom
"J4","~","PJ301M-12",-111.760000,-102.870000,0.000000,bottom
"J5","~","PJ301M-12",-111.760000,-120.015000,0.000000,bottom
"J6","~","PJ301M-12",-111.760000,-137.160000,0.000000,bottom
"J7","~","PJ301M-12",-111.760000,-154.305000,0.000000,bottom
"J8","~","PJ301M-12",-81.280000,-154.305000,0.000000,bottom
"J9","~","PJ301M-12",-96.520000,-154.305000,0.000000,bottom
"RV1","~","Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",-86.346000,-93.345000,90.000000,bottom
"RV2","~","Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",-86.360000,-110.490000,90.000000,bottom
"RV3","~","Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",-86.360000,-127.635000,90.000000,bottom
"RV4","~","Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",-86.360000,-144.780000,90.000000,bottom
"SW1","~","SW_PUSH_6mm_H8mm",-95.250000,-87.630000,-90.000000,bottom
"SW2","~","SW_PUSH_6mm_H8mm",-95.250000,-104.775000,-90.000000,bottom
"SW3","~","SW_PUSH_6mm_H8mm",-95.250000,-121.920000,-90.000000,bottom
"SW4","~","SW_PUSH_6mm_H8mm",-95.250000,-139.065000,-90.000000,bottom
