Ref,Val,Package,PosX,PosY,Rot,Side
"D10","~","LED_D5.0mm-4_RGB",-97.536000,-84.582000,90.000000,bottom
"D11","~","LED_D5.0mm-4_RGB",-97.536000,-101.854000,90.000000,bottom
"D12","~","LED_D5.0mm-4_RGB",-97.536000,-118.872000,90.000000,bottom
"D13","~","LED_D5.0mm-4_RGB",-97.536000,-136.144000,90.000000,bottom
"J3","~","PJ301M-12",-111.760000,-85.725000,0.000000,bottom
"J4","~","PJ301M-12",-111.760000,-102.870000,0.000000,bottom
"J5","~","PJ301M-12",-111.760000,-120.015000,0.000000,bottom
"J6","~","PJ301M-12",-111.760000,-137.160000,0.000000,bottom
"J7","~","PJ301M-12",-111.760000,-154.305000,0.000000,bottom
"J8","~","PJ301M-12",-81.280000,-154.305000,0.000000,bottom
"J9","~","PJ301M-12",-96.520000,-154.305000,0.000000,bottom
"J11","~","USB_C_Receptacle_Vertical",-81.280000,-59.690000,0.000000,bottom
"J12","Micro_SD_Card_Det_Hirose_DM3AT","microSD_HC_Hirose_DM3AT-SF-PEJM5",-95.728000,-59.817000,0.000000,bottom
"RV1","~","Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",-86.346000,-93.345000,90.000000,bottom
"RV2","~","Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",-86.360000,-110.490000,90.000000,bottom
"RV3","~","Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",-86.360000,-127.635000,90.000000,bottom
"RV4","~","Potentiometer_Alpha_RD901F-40-00D_Single_Vertical",-86.360000,-144.780000,90.000000,bottom
"SW1","~","SW_PUSH_6mm_H8mm",-95.250000,-87.630000,-90.000000,bottom
"SW2","~","SW_PUSH_6mm_H8mm",-95.250000,-104.775000,-90.000000,bottom
"SW3","~","SW_PUSH_6mm_H8mm",-95.250000,-121.920000,-90.000000,bottom
"SW4","~","SW_PUSH_6mm_H8mm",-95.250000,-139.065000,-90.000000,bottom
